3514,,,,,,,,,
,,,,,,,,,
,PAIR,MODAL,HARGA JUAL,,,,,,
DUNK ,38,"63.214.464,00","88.967.000,00",,,,,,
AIR FORCE,26,"5.587.364,52","11.094.000,00",,,,,,
AJ 1 LOW,29,"54.881.655,00","86.578.000,00",,,,,,
AJ 1 MID,14,"19.268.602,00","33.440.000,00",,,,,,
AJ 1 HIGH,1,"1.400.000,00","2.500.000,00",,,,,,
AJ4&3,5,"17.931.104,00","25.495.000,00",,,,,,
ADIDAS,451,"730.134.369,60","1.155.154.000,00",,,,,,
NB,247,"368.197.775,41","550.921.000,00",,,,,"Rp906.315,00",1500000
NIKE,168,"212.471.133,22","328.289.000,00",,,,,,
PUMA,415,"588.963.659,32","833.196.000,00",,,,,,
ON,141,"357.337.339,29","481.342.000,00",,,,,,
SALOMON,42,"101.070.204,00","151.310.000,00",,,,,,
ASICS,13,"24.539.876,00","33.945.000,00",,,,,,
BAJU,111,"40.909.500,00","39.876.000,00",,,,,,
VANS & CONVERSE,5,"5.625.857,00","11.896.000,00",,,,,,
YEEZY,9,"15.111.160,00","21.799.000,00",,,,,,
AIR MAX,14,"23.172.512,82","35.087.000,00",,,,,,
ONITSUKA TIGER,2,"4.600.000,00","6.500.000,00",,,,,,
SAUCONY,28,"45.764.600,00","77.178.000,00",,,T,,,
,,,,,,,,,
,,,,,,,,,
,1.759,"2.634.416.576,17","3.897.389.000,00",,,,,,
,,#REF!,#REF!,,,,,,
,,#REF!,#REF!,,,,,,
,,,,,,,,,
,,,,,,,,,
,,"2.963.845.041,00",,,,,,,
,,"329.428.464,83",,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ADIDAS,,,,,,,,,
,,,,,,,,,
,,,,,NB,,,,
